Name,Gap
Segro,1245500000000
Samsara,1223700000000
"Dollar Tree",1029000000000
"China Jinmao",959100000000
"Marvell Technology",938900000000
"Shenzhen Overseas",919800000000
"Jiangxi Zhengbang Technology",855700000000
Snowflake,838900000000
"North Pacific Bank",794700000000
CTP,785000000000
Kakao,776000000000
"Muyuan Foodstuff",774900000000
TelefÃ³nica,756500000000
Fresenius,747400000000
"Jiangsu Zhongnan Construction Group",738200000000
"Juroku  Financial Group",736400000000
DSM-Firmenich,716400000000
"Rakuten Bank",709900000000
"3i Group",702200000000
"Hyakugo Bank",700200000000
"Kyoto Financial Group",699700000000
"77 Bank",698900000000
"Shiga Bank",694800000000
"Wens Foodstuff Group",692800000000
"Angang Steel",680300000000
"Tyson Foods",667900000000
Goodyear,664700000000
"Tokyo Kiraboshi Financial Group",662600000000
"San-In Godo Bank",660800000000
"SBI Sumishin Net Bank",647200000000
"Carlyle Group",646600000000
ALFA,645600000000
Walmart,638400000000
BEKB-BCBE,623400000000
"China Southern Airlines",612400000000
"Zhongliang Holdings ",595100000000
"Legend Holding",591800000000
MicroStrategy,575200000000
"Dongfeng Motor Group",557200000000
Amazon,553000000000
DraftKings,551700000000
"Ogaki Kyoritsu Bank",535500000000
"Aichi Financial Group",529600000000
Philips,523400000000
Paramount,511100000000
"Stora Enso",509400000000
Ball,493300000000
Franco-Nevada,491000000000
"Nanto Bank",487800000000
"Wisetech Global",476000000000
"GE Vernova",471200000000
"Bausch Health Companies",462400000000
DLF,446600000000
"Teva Pharmaceutical",444800000000
"Tata Steel",433200000000
DoorDash,429100000000
"Eversource Energy",423000000000
Sinopec,406400000000
"Korea Gas",404900000000
"Evonik Industries",402300000000
"Keiyo Bank",398800000000
PetroChina,376400000000
"Saudi Arabian Oil Company (Saudi Aramco)",372200000000
"UnitedHealth Group",364100000000
"Toho Bank",362700000000
"Kyndryl Holdings",356100000000
Alstom,354100000000
"CVS Health",354000000000
"Aozora Bank",346600000000
Pfizer,344100000000
"Annaly Capital Management",342000000000
"Indorama Ventures",340000000000
"Volkswagen Group",332300000000
"China State Construction Engineering",309800000000
McKesson,306000000000
ExxonMobil,299100000000
arGEN-X,296200000000
"Berkshire Hathaway",295600000000
"Japan Securities",290500000000
Apple,281200000000
"Toyota Motor",277700000000
"Seagate Technology",276300000000
Doosan,275700000000
Cencora,274600000000
"Shell Plc",271800000000
"Cellnex Telecom",271300000000
"Baxter International",247900000000
"Link REIT",246400000000
"Shin Kong Financial",244800000000
"Costco Wholesale",242000000000
Covestro,239700000000
Alphabet,235500000000
"Seres Group",231600000000
"Banco Davivienda ",229800000000
"Glencore International",213700000000
"Lotte Chemical",207900000000
Shopify,207400000000
"Phoenix Group Holdings",204700000000
JPMorganChase,202900000000
Cigna,200500000000
"Marfrig Global Foods",193700000000
BP,193600000000
TotalEnergies,191100000000
"Samsung Electronics",187500000000
"Hon Hai Precision ",186900000000
Stellantis,184800000000
Cloudflare,182800000000
MongoDB,178300000000
Chevron,174700000000
"China Railway Group",173700000000
"Ford Motor",173600000000
ICBC,173400000000
"Mobileye Global",167900000000
Atlassian,166800000000
"Elevance Health",165500000000
"General Motors",164200000000
"Bank of America",158300000000
"BMW Group",156700000000
"Agricultural Bank of China",156100000000
Citigroup,156100000000
"China Railway Construction",154500000000
"China Construction Bank",152800000000
Centene,152800000000
"Walgreens Boots Alliance",150600000000
Microsoft,150400000000
JD.com,150200000000
"Mercedes-Benz Group",149900000000
Kroger,147900000000
"BNP Paribas",146500000000
"United Natural Foods",145300000000
"Phillips 66",143100000000
BBMG,142700000000
"Bank of China",141200000000
Zscaler,140600000000
"Marathon Petroleum",138600000000
Allianz,138500000000
"The Home Depot",136900000000
"Spotify Technology",134400000000
HubSpot,134400000000
"Honda Motor",133600000000
"Valero Energy",133100000000
BayWa,130900000000
Santander,130500000000
Mitsubishi,128600000000
Dentsu,127000000000
"Fannie Mae",125300000000
"Ping An Insurance Group",124300000000
"China Mobile",124000000000
"HSBC Holdings",122700000000
"Verizon Communications",122700000000
"Alibaba Group",120100000000
"Roivant Sciences",118500000000
"Deutsche Telekom",116700000000
"Hyundai Motor",116400000000
"JM Smucker",109400000000
AT&T,108700000000
"Goldman Sachs Group",107300000000
Humana,107200000000
Comcast,106500000000
"China Shipbuilding Industry",106300000000
Target,103300000000
"China Communications Construction",103300000000
"AXA Group",101800000000
"Wells Fargo",101300000000
SK,101000000000
"Brookfield Corporation",100800000000
"SAIC Motor",100800000000
"Reliance Industries",100400000000
"Xiamen C&D",99400000000
"Freddie Mac",99200000000
"Credit Agricole",99100000000
"Meta Platforms",96900000000
"Royal Ahold Delhaize N.V.",94200000000
"ENEOS Holdings",93800000000
Hanwha,93800000000
"Delek US Holdings",93300000000
Equinor,93200000000
"Life Insurance Corp. of India",93100000000
Eni,93100000000
"Hubei Biocause Pharmaceutical",92700000000
Itochu,91500000000
Enel,91300000000
NestlÃ©,91000000000
"Stanley Black & Decker",90600000000
"Morgan Stanley",90300000000
Carrefour,90000000000
"Indian Oil",88800000000
"Archer Daniels Midland",88700000000
E.ON,88500000000
"E-mart ",88500000000
CITIC,88000000000
"Metallurgical Corp of China",88000000000
"Walt Disney",87200000000
"ENGIE ",86900000000
"PTT ",86800000000
"Dell Technologies",85300000000
Mitsui,84700000000
"Nissan Motor",84700000000
"Deutsche Post",84100000000
Tesco,83800000000
"Power Construction Corporation of China",83800000000
"Nippon Telegraph & Tel",83700000000
"United Parcel Service",83700000000
Sony,83300000000
FedEx,83100000000
"Sinopharm Group",83000000000
PepsiCo,82700000000
"SociÃ©tÃ© GÃ©nÃ©rale",82700000000
Tesla,81000000000
Lotte,79700000000
"Japan Post Holdings",79600000000
"ORLEN Spolka Akcyjna",79600000000
BYD,79000000000
RBC,78800000000
Lowe's,78700000000
Boeing,78600000000
"Seven & I Holdings",78500000000
Albertsons,77900000000
"Chandra Asri Petrochemical",77800000000
Ventas,77400000000
Petrobras,77100000000
"LVMH MoÃ«t Hennessy Louis Vuitton",76700000000
"Metro Group",76500000000
Siemens,76400000000
"Charoen Pokphand Group",76000000000
Sysco,75900000000
PICC,74100000000
"Top Frontier Investment Holdings",73900000000
"Oil & Natural Gas",72400000000
"Johnson & Johnson",72200000000
Viatris,71400000000
"TD Bank Group",71300000000
"Generali Group",70700000000
KIA,70300000000
VINCI,70200000000
"Postal Savings Bank Of China (PSBC)",69000000000
"Procter & Gamble",69000000000
"Toyota Tsusho",68200000000
"Tencent Holdings",67900000000
AIRBUS,67900000000
RTX,67500000000
"China Telecom",67100000000
