Name,assets_in_dollars
"Bank of Montreal",991600000000
"China Everbright Bank",954400000000
"Schweizerische Nationalbank",942200000000
"NatWest Group",881100000000
UniCredit,875400000000
"Commonwealth Bank",870700000000
"BBVA-Banco Bilbao Vizcaya",865800000000
"China Life Insurance",818100000000
"Standard Chartered",812500000000
"State Bank of India",807400000000
"Canadian Imperial Bank",727300000000
"Prudential Financial",725800000000
"ANZ Group Holdings",710900000000
"NAB - National Australia Bank",698700000000
"Westpac Banking Group",686800000000
"AXA Group",684000000000
"US Bancorp",683600000000
MetLife,677600000000
"Volkswagen Group",672000000000
CaixaBank,670700000000
"Saudi Arabian Oil Company (Saudi Aramco)",661500000000
"Legal & General Group",656300000000
"Nordea Bank",653300000000
Manulife,630400000000
"Huaxia Bank",606000000000
Commerzbank,596100000000
"Toyota Motor",595400000000
"PNC Financial Services",566200000000
"Life Insurance Corp. of India",561400000000
DBS,560700000000
"Power Corp of Canada",560200000000
"Generali Group",555300000000
"KB Financial Group",543900000000
"Bank of Beijing",538900000000
"Danske Bank",537100000000
"Truist Financial",535000000000
"Japan Exchange Group",533100000000
Amazon,531000000000
"Shinhan Financial Group",527200000000
"Ita̼ Unibanco Holding",525200000000
"Bank Of Jiangsu",507800000000
"Resona Holdings",503200000000
"Sumitomo Mitsui Trust",501400000000
"Brookfield Corporation",491900000000
Microsoft,484300000000
"HDFC Bank",483200000000
"Capital One",481700000000
"American International Group",475600000000
"Charles Schwab",468800000000
"Hana Financial Group",452300000000
"Dai-ichi Life Insurance",446300000000
"Banco do Brasil",443400000000
"Oversea-Chinese Banking",440800000000
"China Zheshang Bank",437500000000
"Bank Of Shanghai",436500000000
"Bank of New York Mellon",434700000000
"Cathay Financial",417000000000
"China State Construction Engineering",410400000000
Alphabet,407400000000
Aviva,403400000000
"Shell Plc",402000000000
"Bank of Ningbo",399600000000
AT&T,399400000000
"United Overseas Bank",396900000000
"Banco Bradesco",390800000000
"KBC Group",388200000000
PetroChina,388100000000
"SEB AB",386200000000
"Verizon Communications",380200000000
ExxonMobil,377900000000
"Phoenix Group Holdings",375300000000
"Woori Financial Group",374900000000
"Erste Group Bank",370100000000
Nomura,364400000000
"Fubon Financial",361200000000
"DNB Bank",359200000000
"Corebridge Financial",357900000000
"Lincoln National",353900000000
"Svenska Handelsbanken",351300000000
"Samsung Electronics",349800000000
Coinbase,348000000000
KKR,339800000000
"Qatar National Bank",339600000000
"Zurich Insurance Group",339400000000
"State Street",338000000000
Apple,337400000000
"Industrial Bank of Korea",336800000000
"First Abu Dhabi Bank",336300000000
"Apollo Global Management",334100000000
"China Pacific Insurance",332100000000
"Bank of Nanjing",331500000000
"National Bank of Canada",324800000000
"Deutsche Telekom",318800000000
"Jackson Financial",315700000000
Aegon,314800000000
Softbank,308700000000
"Munich Re",298000000000
"Poste Italiane",293200000000
Sinopec,289700000000
"Mercedes-Benz Group",288500000000
"Principal Financial Group",288400000000
Swedbank,288000000000
"The Saudi National Bank",285900000000
"UnitedHealth Group",284200000000
"ICICI Bank",283500000000
TotalEnergies,283100000000
"China Merchants Shekou Industrial Zone Holdings",281700000000
"China Mobile",281000000000
"AIA Group",278800000000
"General Motors",276600000000
"Equitable Holdings",276400000000
BP,275400000000
"BMW Group",274700000000
"Ford Motor",274300000000
"CTBC Financial Holding",270600000000
"American Express",269300000000
"Bank Of Hangzhou",265300000000
"Macquarie Group",264000000000
Comcast,263600000000
"Deutsche Boerse",262900000000
Chevron,261700000000
"Banco de Sabadell",259800000000
"Swiss Life Holding",258300000000
"China Railway Group",257900000000
"Huishang Bank",254800000000
Walmart,254100000000
