Name,Profit_Margin
"Enstar Group",813.0000
"China Merchants Expressway Network & Technology Holdings",623.8667
VeriSign,555.3333
"Wheaton Precious Metals",537.0000
"Fibra Uno",535.9333
"CapitaMall Trust",535.1667
"China Merchants Port Holdings",530.7333
"Gaming And Leisure Properties",483.3333
B3,449.4444
"Focus Media Information Technology",429.3125
"Nova Ljubljanska Banka",386.6875
"Japan Exchange Group",382.3636
"Bank of Cyprus Holdings",379.6667
Adyen,377.5000
Euronext,377.3125
"Royalty Pharma",363.4091
"Wharf Real Estate Investment",358.1176
"Qinghai Salt Lake Industry",355.1923
"Zenith Bank",350.5000
"Check Point Software",350.0417
FinecoBank,346.5789
"AvalonBay Communities",340.5714
"Redeia Corporacion",338.9091
"W. P. Carey",337.1765
"Equity Residential",316.9655
NMDC,311.6000
"Commercial Bank Dubai",311.5909
Lundbergs,310.6364
"Essex Property Trust",308.8235
"Adani Ports & Special Economic Zone",306.1250
Genmab,304.9615
"Banca Mediolanum",302.2258
"Essential Utilities",301.3684
"Galaxy Entertainment",300.7241
"Fair Isaac",300.6250
"Zhejiang Expressway Co. Ltd.",294.4583
"E-L Financial",290.5000
"Bank OZK",290.1667
"Banque Cantonale Vaudoise",290.0556
Lasertec,289.4375
"Everbright Securities",289.3684
"United Bank for Africa",288.1786
"Verisk Analytics",288.1111
"Tradeweb Markets",287.6429
"Trelleborg Group",285.5938
"Guosen Securities",283.1034
HPB,282.7200
"Extra Space Storage",282.3103
Terna,281.5294
"Zhangzhou Pientzehuang Pharmaceutical",279.0667
"DISCO Corp.",277.2857
"Vietnam Technological & Commercial Joint Stock Bank",273.0667
"Anhui Gujing Distillery",272.7308
"Airports of Thailand",267.0556
"ACWA Power",264.4118
"China Three Gorges Renewables (Group)",263.0789
Corpay,262.3684
XP,260.9667
"AGNC Investment",258.2759
"Goneo GroupClass A",257.5455
"Founder Securities",255.3846
"Hong Leong Financial",255.3600
"Mid-america Apartment Communities",254.7273
"Bank Albilad",251.4615
"Asia Commercial Bank",249.2963
"Piraeus Financial Holdings",246.1351
"Masraf Al Rayan",244.9375
"Atmos Energy",243.6829
SLM,242.8387
"Military Commercial Joint Stock Bank",239.4857
"NH Investment & Securities",238.4211
"China Merchants Port Group",238.2273
"Chailease Holding",238.2188
"Air Lease ",237.5200
"Banca Transilvania",236.4828
"China Galaxy Securities",235.6905
"IDEXX Laboratories",234.2162
"Cadence Bank",233.0800
"Foshan Haitian Flavouring and Food",232.2857
"Aristocrat Leisure",231.2558
"Metropolitan Bank & Trust",230.1176
"Latour Ab Investment",229.8333
Brown-Forman,229.7619
"ARC Resources",229.4615
"Indian Railway Finance",228.4688
"Monolithic Power Systems",227.8333
"Bank Muscat",227.0455
"Luzerner Kantonalbank",224.9286
"Bawag Group",223.6364
"American Water Works",223.0233
"FactSet Research Systems",222.3636
"Commercial Bank of Qatar ",221.0294
"Veeva Systems",219.0417
"Dr. Sulaiman Al-Habib Medical Services Group",216.1154
"Chiba Bank",215.9000
"AmBank Group",215.3889
"CBOE Global Markets",214.3784
"Old National Bank",213.7308
"Novatek Microelectronics Corp.",213.2571
"EMS-Chemie Holding",212.1667
"ASM International",210.9643
"Iyogin Holdings,Inc.",209.9231
"St. Galler Kantonalbank",209.6364
"Webster Financial",208.5366
"Jiangsu Changshu Rural Commercial Bank",208.4783
ResMed,208.3478
"Indus Towers",208.3143
Waters,208.1034
"Invitation Homes",208.0385
"Brown & Brown",207.8636
"Moncler SpA",206.7500
"Commercial International Bank",205.6809
"SBA Communications",205.5926
"RHB Bank",205.0667
Ipsen,204.9118
"Mettler-Toledo International",204.7105
"South State",204.0870
"Rithm Capital",203.7500
"Cullen/Frost Bankers",203.6667
"Shriram Transport Finance Co.",202.2045
Geberit,201.9412
"Bank of Suzhou",201.1515
"Dongguan Rural Commercial Bank",198.7568
"Dr. Reddy's Laboratories",197.8235
"Xiamen Bank",197.7895
"TMBThanachart Bank",197.7143
Ansys,197.5455
"Starwood Property Trust",197.0909
"Bharat Electronics Limited",196.4545
Incyte,196.1579
"West Pharmaceutical Services",196.1034
"Pinnacle Financial Partners",196.0000
"Ningxia Baofeng Energy Group",195.4286
Coloplast,195.1892
CAPITEC,194.9655
"Oriental Land",193.3488
"Jiangsu Hengrui Medicine",193.1563
"China Merchants Energy Shipping",191.8649
"Csc Financial",191.7333
"Qilu Bank",191.5625
F.N.B.,191.5417
"Banca Popolare di Sondrio",191.4138
"Skyworks Solutions",190.0444
"Saudi Investment Bank",189.0000
"IDBI Bank",188.9459
"CSPC Pharmaceutical Group",188.5682
"Celsius Holdings",188.1429
"NAURA Technology GroupLtd",187.3636
"Concordia Financial Group",185.1600
"Arab Bank",184.8276
"Jyske Bank",184.7333
"Kimco Realty",184.5789
"Shenzhou International Group Holdings",183.6000
"Hachijuni Bank",183.1429
"Keysight Technologies",182.8302
Bankinter,182.6600
Nordson,182.5185
"Credito Emiliano",182.2286
"SinoPac Financial",181.1714
IDEX,180.5313
"Cholamandalam Investment and Finance",179.6087
"Bank Of Guiyang",178.4651
"Yuanta Financial Holding",177.5625
"Realty Income",177.1818
"Deckers Outdoor",176.5366
"Attijariwafa Bank",176.4286
"Bank of Maharashtra",175.6429
"LG ",174.7000
"Alliant Energy",174.5000
"E.Sun Financial",174.4750
"LIC Housing Finance",174.1818
Dollarama,174.1163
"Shizuoka Financial Group",173.6522
"Bajaj Auto",172.4074
"First Horizon",171.0204
"China Longyuan Power",170.2500
"nVent Electric",170.1176
"Shenwan Hongyuan Group",169.4848
"Fuyao Glass Industry Group",169.1702
"Novonesis A/S",168.7692
DexCom,168.2368
Autodesk,167.7778
Fanuc,167.4364
"Aier Eye Hospital Group",167.2069
Pandora,166.7857
"Samsung Securities",166.0400
"Wintrust Financial",165.7105
"Sonova Holding",165.4390
Celltrion,165.3333
Teradyne,165.1538
AppLovin,165.0278
"Western Alliance Bancorp.",164.6957
"Alpha Bank",164.0000
"Banco Comercial Portugues",163.9483
"H World Group",163.6250
"InterContinental Hotels",163.3478
"Columbia Bank",162.2667
"Gen Digital",162.1053
"Bank of Chongqing",162.0930
"BAC Holding International",160.7368
"Akamai Technologies",160.4872
NASDAQ,160.0000
Veralto,159.6000
"Shanxi Lu'an Environmental",159.3725
"Far East Horizon",158.9818
"Advanced Info Service",158.8545
"China Development Bank Financial Leasing",158.2162
"BCI-Banco Credito",158.1923
"Taiwan Business Bank",158.1500
"Teledyne Technologies",158.1250
"Mebuki Financial Group",157.8421
