Name,market_value_in_dollars,assets_in_dollars,Difference
"Freddie Mac",962000000000,3000000000,959000000000
BayWa,932000000000,14300000000,917700000000
"Berkshire Hathaway",899100000000,1000000000,898100000000
"Japan Securities",907000000000,90800000000,816200000000
"Tokyo Kiraboshi Financial Group",848000000000,47500000000,800500000000
"Aichi Financial Group",838000000000,45100000000,792900000000
"Shengjing Bank",936000000000,152300000000,783700000000
"Deutsche Pfandbriefbank",837000000000,56200000000,780800000000
"Zheshang Development Group",782000000000,6500000000,775500000000
"Hertz Global Holdings",786000000000,24300000000,761700000000
"China Fortune Land Development",775000000000,48300000000,726700000000
"CIFI Holdings Group",721000000000,42500000000,678500000000
"Zenith Bank",690000000000,18600000000,671400000000
"Eli Lilly",731800000000,63900000000,667900000000
"United Natural Foods",666000000000,7700000000,658300000000
"Nanto Bank",685000000000,44800000000,640200000000
"Bank Of Gansu",676000000000,54800000000,621200000000
"Guangzhou R&F",640000000000,47200000000,592800000000
"Keiyo Bank",634000000000,43300000000,590700000000
"Zall Smart Commerce Group",598000000000,9000000000,589000000000
JPMorganChase,588100000000,4000000000,584100000000
"Daou Technology",620000000000,39900000000,580100000000
"Shimao Property Holdings",641000000000,76600000000,564400000000
"Toho Bank",602000000000,44700000000,557300000000
"Logan Property Holdings",588000000000,35000000000,553000000000
"Jiangxi Bank",618000000000,77900000000,540100000000
"Top Frontier Investment Holdings",586000000000,47100000000,538900000000
"Novo Nordisk",581100000000,43300000000,537800000000
"Ogaki Kyoritsu Bank",569000000000,43900000000,525100000000
"Mercuries & Associates",549000000000,50000000000,499000000000
"Taiwan Semiconductor",672000000000,180900000000,491100000000
"United Bank for Africa",501000000000,19400000000,481600000000
Broadcom,646600000000,177900000000,468700000000
Visa,560500000000,92400000000,468100000000
Tesla,566000000000,109200000000,456800000000
HPB,493000000000,55000000000,438000000000
Mastercard,427900000000,42600000000,385300000000
"Harbin Bank",465000000000,114800000000,350200000000
"ASML Holding",365000000000,42200000000,322800000000
"Basler Kantonalbank",370000000000,62600000000,307400000000
"Bank of America",307300000000,3000000000,304300000000
"Daou Data",340000000000,40300000000,299700000000
"Costco Wholesale",352900000000,66300000000,286600000000
"Procter & Gamble",395700000000,119600000000,276100000000
Walmart,521100000000,254100000000,267000000000
"Jiangsu Zhongnan Construction Group",297000000000,30600000000,266400000000
"LVMH MoÃ«t Hennessy Louis Vuitton",423900000000,158700000000,265200000000
"The Home Depot",341100000000,79200000000,261900000000
"Kweichow Moutai",298200000000,39500000000,258700000000
"Tencent Holdings",472300000000,227800000000,244500000000
"HermÃ¨s International",261400000000,22600000000,238800000000
"Merck & Co.",332300000000,105800000000,226500000000
Netflix,267700000000,48800000000,218900000000
"Wells Fargo",212900000000,1000000000,211900000000
ICBC,215200000000,6000000000,209200000000
L'OrÃ©al,260300000000,57300000000,203000000000
Oracle,339400000000,137100000000,202300000000
"Johnson & Johnson",372200000000,172000000000,200200000000
"UnitedHealth Group",482900000000,284200000000,198700000000
"Advanced Micro Devices",265800000000,67900000000,197900000000
Adobe,216600000000,28800000000,187800000000
"China Construction Bank",187500000000,5000000000,182500000000
Salesforce,277100000000,102800000000,174300000000
Coca-Cola,271500000000,99400000000,172100000000
"Agricultural Bank of China",170900000000,5000000000,165900000000
"HSBC Holdings",166400000000,3000000000,163400000000
Qualcomm,216300000000,53200000000,163100000000
"Morgan Stanley",162900000000,1000000000,161900000000
ExxonMobil,536700000000,377900000000,158800000000
Intuit,185100000000,29700000000,155400000000
PepsiCo,250500000000,100000000000,150500000000
"Goldman Sachs Group",150800000000,1000000000,149800000000
