Name,sales_in_dollars,market_value_in_dollars,Difference
"Rakuten Bank",948000000000,3300000000,944700000000
"Kyoto Financial Group",918000000000,1200000000,916800000000
Segro,931000000000,15900000000,915100000000
Samsara,937000000000,22500000000,914500000000
"77 Bank",905000000000,2300000000,902700000000
"North Pacific Bank",884000000000,1400000000,882600000000
"Juroku  Financial Group",870000000000,1100000000,868900000000
"Jiangxi Zhengbang Technology",857000000000,3700000000,853300000000
"SBI Sumishin Net Bank",819000000000,2600000000,816400000000
BEKB-BCBE,818000000000,2600000000,815400000000
"Shiga Bank",805000000000,1200000000,803800000000
"Hyakugo Bank",799000000000,1000000000,798000000000
CTP,786000000000,8200000000,777800000000
"San-In Godo Bank",777000000000,1400000000,775600000000
DLF,776000000000,25200000000,750800000000
"3i Group",707000000000,36200000000,670800000000
"Wisetech Global",623000000000,21700000000,601300000000
Amazon,590700000000,1000000000,589700000000
"Saudi Arabian Oil Company (Saudi Aramco)",489100000000,1000000000,488100000000
MicroStrategy,490000000000,28100000000,461900000000
Apple,381600000000,2000000000,379600000000
Alphabet,317900000000,2000000000,315900000000
Sinopec,414900000000,106800000000,308100000000
"CVS Health",361300000000,72400000000,288900000000
"China State Construction Engineering",317400000000,33300000000,284100000000
"Volkswagen Group",348600000000,65600000000,283000000000
McKesson,309000000000,73400000000,235600000000
Microsoft,236600000000,3000000000,233600000000
Cencora,276500000000,44300000000,232200000000
PetroChina,399100000000,177600000000,221500000000
"Jio Financial Services",224000000000,27200000000,196800000000
"Cardinal Health",220600000000,24100000000,196500000000
"Bajaj Holdings & Investment",207000000000,11000000000,196000000000
"Sichuan Chuantou Energy",201000000000,11300000000,189700000000
"China Railway Group",178200000000,14500000000,163700000000
"Power Assets Holdings",165000000000,12800000000,152200000000
"China Railway Construction",158200000000,10200000000,148000000000
"Meta Platforms",142700000000,1000000000,141700000000
"Fannie Mae",143300000000,1800000000,141500000000
"Glencore International",218000000000,76900000000,141100000000
Stellantis,204900000000,65000000000,139900000000
Walmart,657300000000,521100000000,136200000000
"Walgreens Boots Alliance",144600000000,15700000000,128900000000
"Ford Motor",177500000000,49000000000,128500000000
"General Motors",174900000000,52200000000,122700000000
"Hon Hai Precision ",191700000000,73100000000,118600000000
"Roivant Sciences",123000000000,9100000000,113900000000
Centene,155500000000,41700000000,113800000000
Kroger,150000000000,39100000000,110900000000
Cigna,204100000000,96200000000,107900000000
"BMW Group",168300000000,65800000000,102500000000
BP,202800000000,104400000000,98400000000
JD.com,153700000000,55700000000,98000000000
"Xiamen C&D",101200000000,4500000000,96700000000
"China Communications Construction",106600000000,10100000000,96500000000
SK,99600000000,6300000000,93300000000
"Honda Motor",141300000000,53700000000,87600000000
"Mercedes-Benz Group",164300000000,77100000000,87200000000
"Phillips 66",148900000000,62400000000,86500000000
"Valero Energy",140100000000,54300000000,85800000000
"Metallurgical Corp of China",89100000000,4700000000,84400000000
"Marathon Petroleum",146500000000,63300000000,83200000000
"ENEOS Holdings",95800000000,14400000000,81400000000
"SAIC Motor",102800000000,23100000000,79700000000
Carrefour,91800000000,12100000000,79700000000
"Hyundai Motor",125400000000,47300000000,78100000000
"Wuchan Zhongda Group",81500000000,3500000000,78000000000
"Sinopharm Group",84300000000,8800000000,75500000000
"ORLEN Spolka Akcyjna",85400000000,10500000000,74900000000
"Nissan Motor",87700000000,12900000000,74800000000
"Power Construction Corporation of China",85600000000,12700000000,72900000000
"StoneX Group",73400000000,2400000000,71000000000
"BNP Paribas",157600000000,88900000000,68700000000
Albertsons,79200000000,11900000000,67300000000
"Royal Ahold Delhaize N.V.",96200000000,29800000000,66400000000
Humana,109200000000,42900000000,66300000000
"Indian Oil",93800000000,27800000000,66000000000
"Jiangxi Copper",73500000000,7900000000,65600000000
CITIC,96100000000,31900000000,64200000000
"SociÃ©tÃ© GÃ©nÃ©rale",84600000000,20900000000,63700000000
"PTT ",90000000000,26600000000,63400000000
JBS,74200000000,12700000000,61500000000
"Shell Plc",289700000000,228500000000,61200000000
"Archer Daniels Midland",91700000000,30500000000,61200000000
Santander,142800000000,82100000000,60700000000
"Legend Holding",61500000000,1900000000,59600000000
"Xiamen International Trade Group",61500000000,2400000000,59100000000
NVIDIA,60900000000,2000000000,58900000000
"Korea Electric Power",68100000000,9400000000,58700000000
"Xiamen Xiangyu",60500000000,2200000000,58300000000
Tesco,85300000000,27600000000,57700000000
"Credit Agricole",105500000000,48300000000,57200000000
"China Vanke",65100000000,10400000000,54700000000
"Japan Post Holdings",81500000000,27600000000,53900000000
E.ON,89800000000,36100000000,53700000000
"China Energy Engineering",57700000000,4900000000,52800000000
"Wilmar International",67200000000,14700000000,52500000000
"Idemitsu Kosan",60300000000,8900000000,51400000000
"LG Electronics",64300000000,13000000000,51300000000
"SK Innovation ",58300000000,7700000000,50600000000
"Toyota Tsusho",70500000000,21700000000,48800000000
Aeon,66700000000,18200000000,48500000000
"KoÃ§ Holding",67400000000,19300000000,48100000000
"ENGIE ",89300000000,41500000000,47800000000
PICC,77300000000,30300000000,47000000000
ArcelorMittal,68300000000,21600000000,46700000000
Eni,97000000000,50400000000,46600000000
Bouygues,61100000000,14500000000,46600000000
"Performance Food Group",58000000000,11500000000,46500000000
Mitsubishi,135300000000,88900000000,46400000000
"Seven & I Holdings",80100000000,33900000000,46200000000
"TD SYNNEX",56400000000,11000000000,45400000000
KIA,77500000000,32600000000,44900000000
"World Fuel Services",46200000000,1500000000,44700000000
"HD HYUNDAI",48100000000,3600000000,44500000000
"Elevance Health",171700000000,127300000000,44400000000
"Repsol ",63700000000,19700000000,44000000000
"American Airlines Group",53200000000,9700000000,43500000000
"Dai-ichi Life Insurance",66100000000,23100000000,43000000000
Bunge,57600000000,14600000000,43000000000
"Nippon Steel ",61300000000,19400000000,41900000000
Citigroup,163900000000,122200000000,41700000000
TotalEnergies,212600000000,171200000000,41400000000
"Greenland Holdings Group",45500000000,4200000000,41300000000
Renault,56600000000,15900000000,40700000000
"Shanghai Construction ",43500000000,3000000000,40500000000
Sysco,78000000000,37800000000,40200000000
"Lenovo Group",55700000000,16300000000,39400000000
Panasonic,58800000000,19900000000,38900000000
Raizen,44400000000,6000000000,38400000000
"Tokyo Electric Power",47800000000,9800000000,38000000000
"Bharat Petroleum",54100000000,16400000000,37700000000
Hanwha,38800000000,1500000000,37300000000
"Toyota Motor",311900000000,274900000000,37000000000
"Legal & General Group",55900000000,19000000000,36900000000
"United Airlines Holdings",54800000000,18100000000,36700000000
"Deutsche Post",87900000000,51300000000,36600000000
"Rajesh Exports",36900000000,1100000000,35800000000
"Oil & Natural Gas",77500000000,41900000000,35600000000
"ThyssenKrupp Group",38700000000,3400000000,35300000000
Posco,57400000000,22300000000,35100000000
Allianz,148200000000,113800000000,34400000000
"Deutsche Bank",68000000000,33600000000,34400000000
Talanx,54000000000,20100000000,33900000000
Target,107400000000,74100000000,33300000000
"Banco Bradesco",61200000000,27900000000,33300000000
"Generali Group",74700000000,42000000000,32700000000
"Olam Group",35900000000,3300000000,32600000000
"J Sainsbury",40900000000,8400000000,32500000000
"Ogaki Kyoritsu Bank",601000000000,569000000000,32000000000
"Tyson Foods",52900000000,21000000000,31900000000
"PBF Energy",37700000000,6100000000,31600000000
"Banco do Brasil",62100000000,30900000000,31200000000
"Metro Group",33100000000,2000000000,31100000000
"Shanghai Pharmaceuticals",36800000000,5900000000,30900000000
Continental,44300000000,13600000000,30700000000
"Ping An Insurance Group",136100000000,105500000000,30600000000
"Deutsche Lufthansa",38800000000,8700000000,30100000000
"Air France-KLM",32900000000,3000000000,29900000000
Itochu,97000000000,67200000000,29800000000
"Poly Developments & Holdings Group",48200000000,18500000000,29700000000
"Magna International",43100000000,13600000000,29500000000
"China Resources Pharmaceutical Group",34500000000,5000000000,29500000000
"Hyundai Mobis",44300000000,15100000000,29200000000
Pegatron,37800000000,8600000000,29200000000
"Brookfield Corporation",101900000000,73000000000,28900000000
"Rongsheng Petrochemical",43300000000,14600000000,28700000000
"CJ Corporation",31800000000,3500000000,28300000000
"Volvo Car",37500000000,9300000000,28200000000
"Vibra Energia",33100000000,5000000000,28100000000
"Korea Gas",29900000000,1800000000,28100000000
"China Unicom",52700000000,24800000000,27900000000
"AXA Group",109400000000,81600000000,27800000000
"Bank of China",173300000000,145700000000,27600000000
"Best Buy",43500000000,15900000000,27600000000
"Baoshan Iron & Steel",48500000000,21200000000,27300000000
"ACS Actividades de Construccion y Servicios",38600000000,11300000000,27300000000
Mapfre,34900000000,7800000000,27100000000
"Mazda Motor",33400000000,6400000000,27000000000
"China Minsheng Bank",43900000000,17200000000,26700000000
"Phoenix Group Holdings",33200000000,6500000000,26700000000
"JFE Holdings",35800000000,9400000000,26400000000
"Daimler Truck Holding",60700000000,34400000000,26300000000
Aviva,43200000000,16900000000,26300000000
"George Weston",45000000000,18800000000,26200000000
Forvia,29500000000,3400000000,26100000000
"China National Building",29800000000,3900000000,25900000000
AntarChile,29600000000,3900000000,25700000000
"BAIC Motor",28000000000,2400000000,25600000000
"Huaneng Power International",35700000000,10300000000,25400000000
"Veolia Environnement",49000000000,23800000000,25200000000
"Lithia Motors",32600000000,7400000000,25200000000
"Marfrig Global Foods",27200000000,2100000000,25100000000
"Delta Air Lines",59000000000,34000000000,25000000000
"Compal Electronics",29800000000,5000000000,24800000000
BASF,72100000000,47500000000,24600000000
"Jardine Matheson",36000000000,11400000000,24600000000
"Life Insurance Corp. of India",98000000000,73600000000,24400000000
"Aisin Seiki",34000000000,9700000000,24300000000
"Arrow Electronics",31300000000,7000000000,24300000000
FedEx,87500000000,63300000000,24200000000
Centrica,32900000000,9700000000,23200000000
MÃ¸ller-Maersk,49200000000,26300000000,22900000000
"OMV Group",39800000000,16900000000,22900000000
"Mitsubishi Chemical",30300000000,7500000000,22800000000
"Agricultural Bank of China",193500000000,170900000000,22600000000
HP,53100000000,30500000000,22600000000
"Fosun International",28000000000,5400000000,22600000000
Ceconomy,24100000000,1500000000,22600000000
"US Foods",36000000000,13600000000,22400000000
"Postal Savings Bank Of China (PSBC)",80300000000,58100000000,22200000000
"EnBW Energie Baden-Wurttemberg",41900000000,19700000000,22200000000
Paramount,30100000000,8000000000,22100000000
